raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123241,0.650716,-0.054223,-0.074590,0.753700,0.016235,-0.183228,0.987183,0.006392,0.003196,0.000000,0.000000,0.000000,0.000000"
"123256,0.650656,-0.054839,-0.075323,0.753635,0.015503,-0.186768,0.986206,0.004261,0.004261,0.000000,0.000000,0.000000,0.000000"
"123284,0.650730,-0.054089,-0.074801,0.753678,0.015991,-0.183594,0.987305,-0.012783,0.004261,0.001065,0.000000,0.000000,0.000000"
"123305,0.650281,-0.054095,-0.074627,0.754081,0.016846,-0.186157,0.984985,0.006392,0.003196,0.000000,-34.000000,-27.000000,8.000000"
"123320,0.650205,-0.054892,-0.075230,0.754030,0.015259,-0.184937,0.986572,-0.003196,0.003196,0.000000,0.000000,0.000000,0.000000"
"123343,0.650271,-0.054329,-0.074446,0.754092,0.014893,-0.182251,0.987427,-0.003196,0.004261,-0.001065,0.000000,0.000000,0.000000"
"123362,0.650206,-0.055037,-0.075162,0.754025,0.014893,-0.184204,0.986084,-0.005326,0.003196,-0.001065,0.000000,0.000000,0.000000"
"123386,0.649763,-0.055065,-0.074955,0.754426,0.015869,-0.182251,0.987549,0.002131,0.003196,0.000000,-34.000000,-28.000000,11.000000"
"123406,0.649694,-0.055775,-0.075594,0.754369,0.014160,-0.187256,0.985962,0.005326,0.003196,0.000000,0.000000,0.000000,0.000000"
"123428,0.649756,-0.055227,-0.074839,0.754431,0.014038,-0.185913,0.986084,-0.009587,0.002131,-0.001065,0.000000,0.000000,0.000000"
"123448,0.649843,-0.054348,-0.074403,0.754463,0.014893,-0.183472,0.987305,0.001065,0.003196,0.000000,0.000000,0.000000,0.000000"
"123470,0.649928,-0.053459,-0.074799,0.754414,0.016479,-0.182983,0.986450,-0.004261,0.003196,-0.001065,0.000000,0.000000,0.000000"
"123490,0.649487,-0.053523,-0.074598,0.754809,0.017090,-0.182739,0.986450,-0.005326,0.003196,-0.001065,-34.000000,-28.000000,13.000000"
"123509,0.649405,-0.054403,-0.075030,0.754774,0.015625,-0.184082,0.986328,0.002131,0.004261,0.000000,0.000000,0.000000,0.000000"
"123531,0.649355,-0.055021,-0.074236,0.754851,0.014160,-0.184448,0.986938,0.002131,0.002131,0.000000,0.000000,0.000000,0.000000"
"123551,0.649419,-0.054312,-0.074904,0.754781,0.015991,-0.184326,0.986694,-0.002131,0.004261,0.000000,0.000000,0.000000,0.000000"
"123604,0.648959,-0.054339,-0.074770,0.755188,0.013672,-0.184814,0.986084,-0.002131,0.003196,0.000000,-35.000000,-26.000000,7.000000"
"123622,0.648933,-0.054713,-0.073843,0.755274,0.013428,-0.183350,0.987061,-0.002131,0.003196,0.000000,0.000000,0.000000,0.000000"
"123641,0.648994,-0.054072,-0.074572,0.755197,0.015259,-0.183594,0.986938,0.004261,0.004261,-0.001065,0.000000,0.000000,0.000000"
"123660,0.649058,-0.053358,-0.075236,0.755127,0.017212,-0.183594,0.987061,-0.005326,0.004261,0.000000,0.000000,0.000000,0.000000"
"123681,0.648971,-0.054325,-0.075028,0.755153,0.015503,-0.184814,0.988037,0.005326,0.002131,0.000000,0.000000,0.000000,0.000000"
"123704,0.648525,-0.054387,-0.074852,0.755549,0.013794,-0.186157,0.984375,-0.005326,0.002131,0.001065,-32.000000,-27.000000,11.000000"
