mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.0075,0.0225,0.75,0.03,0.017671458676442587,8.439161498774883
0.1,0.0075,0.0225,0.775,0.03,0.01826050729899067,8.301930214874693
0.1,0.0075,0.0225,0.8,0.03,0.01884955592153876,8.171182985177486
0.1,0.0075,0.0225,0.825,0.03,0.019438604544086843,8.046424773683615
0.1,0.0075,0.0225,0.8500000000000001,0.03,0.020027653166634934,7.927211890385083
0.1,0.0075,0.0225,0.875,0.03,0.020616701789183015,7.813145340792437
0.1,0.0075,0.0225,0.9,0.03,0.021205750411731103,7.70386519884685
0.1,0.0075,0.0225,0.925,0.03,0.021794799034279187,7.599045822164443
0.1,0.0075,0.0225,0.95,0.03,0.022383847656827275,7.498391764540563
0.1,0.0075,0.0225,0.9750000000000001,0.03,0.022972896279375366,7.401634268727639
0.1,0.0075,0.0225,1.0,0.03,0.023561944901923447,7.308528244578606
0.1,0.0075,0.0225,1.025,0.03,0.02415099352447153,7.218849655119761
0.1,0.0075,0.0225,1.05,0.03,0.02474004214701962,7.132393247030677
0.1,0.0075,0.0225,1.0750000000000002,0.03,0.02532909076956771,7.0489705731555095
0.1,0.0075,0.0225,1.1,0.03,0.025918139392115794,6.968408263650462
0.1,0.0075,0.0225,1.125,0.03,0.02650718801466388,6.8905465096465965
0.1,0.0075,0.0225,1.15,0.03,0.027096236637211963,6.8152377292296915
0.1,0.0075,0.0225,1.175,0.03,0.02768528525976005,6.74234539038433
0.1,0.0075,0.0225,1.2000000000000002,0.03,0.028274333882308142,6.671742969532228
0.1,0.0075,0.0225,1.225,0.03,0.028863382504856226,6.603313027583014
0.1,0.0075,0.0225,1.25,0.03,0.02945243112740431,6.536946388141989
0.1,0.0075,0.0225,1.275,0.03,0.03004147974995239,6.4725414047890375
0.1,0.0075,0.0225,1.3,0.03,0.030630528372500482,6.410003306239592
0.1,0.0075,0.0225,1.3250000000000002,0.03,0.03121957699504857,6.349243609789696
0.1,0.0075,0.0225,1.35,0.03,0.031808625617596654,6.290179594786549
0.1,0.0075,0.0225,1.375,0.03,0.03239767424014474,6.232733828997484
0.1,0.0075,0.0225,1.4,0.03,0.03298672286269283,6.176833741709146
0.1,0.0075,0.0225,1.425,0.03,0.033575771485240914,6.122411238203988
0.1,0.0075,0.0225,1.4500000000000002,0.03,0.034164820107789005,6.069402350956421
0.1,0.0075,0.0225,1.475,0.03,0.03475386873033709,6.017746923485636
0.1,0.0075,0.0225,1.5,0.03,0.035342917352885174,5.967388323312147
0.1,0.008,0.024,0.5,0.032,0.012566370614359173,10.007614454298341
0.1,0.008,0.024,0.525,0.032,0.013194689145077132,9.766431675990548
0.1,0.008,0.024,0.55,0.032,0.013823007675795092,9.54188598976691
0.1,0.008,0.024,0.575,0.032,0.014451326206513047,9.332148597648468
0.1,0.008,0.024,0.6,0.032,0.015079644737231007,9.135660305723258
0.1,0.008,0.024,0.625,0.032,0.015707963267948967,8.951082484968222
0.1,0.008,0.024,0.65,0.032,0.016336281798666925,8.7772585112753
0.1,0.008,0.024,0.675,0.032,0.016964600329384884,8.613183137058245
0.1,0.008,0.024,0.7,0.032,0.017592918860102842,8.457977935732844
0.1,0.008,0.024,0.725,0.032,0.0182212373908208,8.310871445484297
0.1,0.008,0.024,0.75,0.032,0.01884955592153876,8.171182985177486
0.1,0.008,0.024,0.775,0.032,0.019477874452256717,8.038309365896462
