raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"124513,0.181587,0.004760,-0.002124,0.983361,0.013610,-0.005318,1.006447,-0.016702,-0.007692,-0.010769,-54.000000,-23.000000,25.000000"
"124551,0.181579,0.012623,0.005648,0.983279,0.011836,-0.000081,1.011377,-0.032754,0.005567,0.002749,0.000000,0.000000,0.000000"
"124587,0.182180,0.012441,0.004573,0.983176,0.011565,-0.000386,1.011359,-0.012108,-0.010203,0.013400,-52.000000,-24.000000,27.000000"
"124624,0.182052,0.003130,-0.001296,0.983283,0.010050,0.001438,1.009906,0.018268,-0.010948,0.005771,0.000000,0.000000,0.000000"
"124667,0.181705,0.012915,-0.007360,0.983241,0.011742,-0.003255,1.007898,-0.014197,0.003097,0.017239,0.000000,0.000000,0.000000"
"124705,0.182170,0.012554,-0.007643,0.983157,0.012361,-0.001378,1.011014,-0.019404,-0.003585,0.003551,-54.000000,-24.000000,26.000000"
"124741,0.181954,0.003306,0.000369,0.983301,0.010204,-0.000238,1.008768,-0.008626,-0.013421,0.012924,0.000000,0.000000,0.000000"
"124786,0.181714,0.012046,-0.007029,0.983253,0.009787,0.000030,1.009510,0.001831,0.004067,0.010377,0.000000,0.000000,0.000000"
"124823,0.182029,0.011409,-0.007043,0.983202,0.010701,-0.003809,1.007471,-0.005166,0.009477,0.007271,-53.000000,-23.000000,27.000000"
"124862,0.182177,0.002414,0.000097,0.983263,0.011369,-0.001787,1.009547,-0.023481,0.001199,-0.005372,0.000000,0.000000,0.000000"
"124907,0.182353,0.002689,-0.000364,0.983229,0.011176,0.002351,1.011160,-0.015453,-0.005642,0.007255,-53.000000,-22.000000,29.000000"
"124944,0.182254,0.013751,-0.003434,0.983149,0.010673,-0.000116,1.009131,-0.008653,-0.003450,0.004180,0.000000,0.000000,0.000000"
"124977,0.182270,0.002389,-0.001192,0.983245,0.009364,-0.001844,1.008423,0.009736,0.003452,-0.000576,0.000000,0.000000,0.000000"
